epoch,train_loss,val_rmse_c,k_ratio,alpha_base,source_gain,loss_data,loss_rollout,loss_ic,loss_bc,loss_pde,loss_param
1,0.020210905000567436,27.81096839904785,1.0,0.3011941909790039,0.6065306663513184,0.0016837312141433358,0.00010217926319455728,0.0,0.0,0.0,0.0
2,1.2468215227127075,14.244718551635742,1.0,0.3011941909790039,0.6065306663513184,0.10387124121189117,0.006109531037509441,0.0,0.0,0.0,0.0
3,0.32102274894714355,6.95565938949585,1.0,0.3011941909790039,0.6065306663513184,0.026744097471237183,0.0015598491299897432,0.0,0.0,0.0,0.0
4,0.0712263435125351,9.215531349182129,1.0,0.3011941909790039,0.6065306663513184,0.005933756940066814,0.0003543867787811905,0.0,0.0,0.0,0.0
5,0.13576994836330414,10.828167915344238,1.0,0.3011941909790039,0.6065306663513184,0.011310916393995285,0.0006490748492069542,0.0,0.0,0.0,0.0
6,0.18710613250732422,7.2722554206848145,1.0,0.3011941909790039,0.6065306663513184,0.015588494017720222,0.0007365593337453902,0.0,0.0,0.0,0.0
7,0.08361987769603729,5.839044570922852,1.0,0.3011941909790039,0.6065306663513184,0.00696605583652854,0.00045346637489274144,0.0,0.0,0.0,0.0
8,0.05193633586168289,6.188990116119385,1.0,0.3011941909790039,0.6065306663513184,0.004325772635638714,0.0004510954604484141,0.0,0.0,0.0,0.0
9,0.058482155203819275,5.249204635620117,1.0,0.3011941909790039,0.6065306663513184,0.004872635472565889,0.00017544071306474507,0.0,0.0,0.0,0.0
10,0.04200274869799614,5.358910083770752,1.0,0.3011941909790039,0.6065306663513184,0.003499123966321349,0.00022102145885583013,0.0,0.0,0.0,0.0
11,0.04441242665052414,5.3354949951171875,1.0,0.3011941909790039,0.6065306663513184,0.003699626075103879,0.00028186995768919587,0.0,0.0,0.0,0.0
12,0.04403739422559738,5.1957011222839355,1.0,0.3011941909790039,0.6065306663513184,0.003668558318167925,0.00024487654445692897,0.0,0.0,0.0,0.0
13,0.04147171601653099,5.093605041503906,1.0,0.3011941909790039,0.6065306663513184,0.0034543925430625677,0.0003167832037433982,0.0,0.0,0.0,0.0
14,0.03959682583808899,5.129974365234375,1.0,0.3011941909790039,0.6065306663513184,0.0032989969477057457,0.00014769310655537993,0.0,0.0,0.0,0.0
15,0.04018542915582657,5.020539283752441,1.0,0.3011941909790039,0.6065306663513184,0.003347896272316575,0.00017786318494472653,0.0,0.0,0.0,0.0
16,0.03856100142002106,4.836236476898193,1.0,0.3011941909790039,0.6065306663513184,0.003212427021935582,0.00019791813974734396,0.0,0.0,0.0,0.0
17,0.0358038991689682,4.742395401000977,1.0,0.3011941909790039,0.6065306663513184,0.0029829407576471567,0.0001434681616956368,0.0,0.0,0.0,0.0
18,0.03435312211513519,4.839986324310303,1.0,0.3011941909790039,0.6065306663513184,0.002862051595002413,0.000141691358294338,0.0,0.0,0.0,0.0
19,0.035630758851766586,4.762459754943848,1.0,0.3011941909790039,0.6065306663513184,0.002968454733490944,0.00015503160830121487,0.0,0.0,0.0,0.0
20,0.034269172698259354,4.6120524406433105,1.0,0.3011941909790039,0.6065306663513184,0.0028550701681524515,0.00013881822815164924,0.0,0.0,0.0,0.0
21,0.03208809345960617,4.6131744384765625,1.0,0.3011941909790039,0.6065306663513184,0.0026731782127171755,0.00016587231948506087,0.0,0.0,0.0,0.0
22,0.03218932822346687,4.591332912445068,1.0,0.3011941909790039,0.6065306663513184,0.0026814225129783154,0.0002043322892859578,0.0,0.0,0.0,0.0
23,0.03182973712682724,4.504584312438965,1.0,0.3011941909790039,0.6065306663513184,0.002651778282597661,0.00013995362678542733,0.0,0.0,0.0,0.0
24,0.030542699620127678,4.573901653289795,1.0,0.3011941909790039,0.6065306663513184,0.0025448391679674387,7.71410996094346e-05,0.0,0.0,0.0,0.0
25,0.03145378455519676,4.579836845397949,1.0,0.3011941909790039,0.6065306663513184,0.002620537532493472,0.00012226538092363626,0.0,0.0,0.0,0.0
26,0.03131784871220589,4.487764835357666,1.0,0.3011941909790039,0.6065306663513184,0.00260904710739851,0.0001546939747640863,0.0,0.0,0.0,0.0
27,0.029849713668227196,4.3984375,1.0,0.3011941909790039,0.6065306663513184,0.0024869185872375965,0.00011150370119139552,0.0,0.0,0.0,0.0
28,0.028520116582512856,4.409524440765381,1.0,0.3011941909790039,0.6065306663513184,0.0023762774653732777,7.979016663739458e-05,0.0,0.0,0.0,0.0
29,0.02856014482676983,4.44092321395874,1.0,0.3011941909790039,0.6065306663513184,0.0023795447777956724,9.347289596917108e-05,0.0,0.0,0.0,0.0
30,0.028888942673802376,4.420705318450928,1.0,0.3011941909790039,0.6065306663513184,0.0024068804923444986,0.00010625689174048603,0.0,0.0,0.0,0.0
31,0.028623761609196663,4.360800743103027,1.0,0.3011941909790039,0.6065306663513184,0.00238485774025321,9.115889406530187e-05,0.0,0.0,0.0,0.0
32,0.027856385335326195,4.351171016693115,1.0,0.3011941909790039,0.6065306663513184,0.0023210309445858,6.69043802190572e-05,0.0,0.0,0.0,0.0
33,0.027693508192896843,4.309115886688232,1.0,0.3011941909790039,0.6065306663513184,0.002307426417246461,7.317484414670616e-05,0.0,0.0,0.0,0.0
34,0.027054669335484505,4.2701640129089355,1.0,0.3011941909790039,0.6065306663513184,0.00225415569730103,8.001592505024746e-05,0.0,0.0,0.0,0.0
35,0.026486938819289207,4.277115345001221,1.0,0.3011941909790039,0.6065306663513184,0.002206872683018446,7.443493086611852e-05,0.0,0.0,0.0,0.0
36,0.026587199419736862,4.2546000480651855,1.0,0.3011941909790039,0.6065306663513184,0.0022152462042868137,7.075324538163841e-05,0.0,0.0,0.0,0.0
37,0.026337267830967903,4.223672389984131,1.0,0.3011941909790039,0.6065306663513184,0.0021944225300103426,6.99375887052156e-05,0.0,0.0,0.0,0.0
38,0.026029394939541817,4.159318923950195,1.0,0.3011941909790039,0.6065306663513184,0.0021687489934265614,7.344863843172789e-05,0.0,0.0,0.0,0.0
39,0.025360438972711563,4.132563591003418,1.0,0.3011941909790039,0.6065306663513184,0.002113038208335638,6.632611621171236e-05,0.0,0.0,0.0,0.0
40,0.025186436250805855,4.113032817840576,1.0,0.3011941909790039,0.6065306663513184,0.0020985580049455166,6.234106695046648e-05,0.0,0.0,0.0,0.0
41,0.02503381296992302,4.057501792907715,1.0,0.3011941909790039,0.6065306663513184,0.0020858191419392824,6.637223123107105e-05,0.0,0.0,0.0,0.0
42,0.024332011118531227,4.0326313972473145,1.0,0.3011941909790039,0.6065306663513184,0.0020273257978260517,6.835961539763957e-05,0.0,0.0,0.0,0.0
